start date;    start time;end date      ;end time  ;total time slept (minutes);awake (minutes);light (minutes);REM (minutes);deep (minutes)
"Aug 19, 2022";"11:31:00";"Aug 19, 2022";"18:37:00";426                       ;84             ;228            ;67           ;47
"Aug 20, 2022";"10:33:00";"Aug 20, 2022";"12:45:00";132;8;112;12;0
"Aug 22, 2022";"00:39:00";"Aug 22, 2022";"09:11:00";512;65;272;106;69
"Aug 23, 2022";"00:36:00";"Aug 23, 2022";"08:13:00";457;53;287;75;42
"Aug 24, 2022";"00:18:00";"Aug 24, 2022";"07:22:00";424;65;219;80;60
"Aug 24, 2022";"09:26:00";"Aug 24, 2022";"10:37:00";71;13;43;9;6
"Aug 27, 2022";"01:02:00";"Aug 27, 2022";"08:57:00";475;67;293;70;45
"Aug 28, 2022";"00:51:00";"Aug 28, 2022";"09:18:00";507;65;263;110;69
"Aug 29, 2022";"01:34:00";"Aug 29, 2022";"09:35:00";481;69;277;105;30
"Aug 30, 2022";"00:51:00";"Aug 30, 2022";"08:37:00";466;58;276;104;28
"Aug 31, 2022";"01:27:00";"Aug 31, 2022";"08:30:00";423;42;266;95;20
"Sep 1, 2022";"02:40:00";"Sep 1, 2022";"08:57:00";377;61;240;62;14
"Sep 1, 2022";"23:37:00";"Sep 2, 2022";"07:32:00";475;55;216;134;70
"Sep 3, 2022";"02:09:00";"Sep 3, 2022";"10:11:00";482;97;232;92;61
"Sep 4, 2022";"01:54:00";"Sep 4, 2022";"09:28:00";454;46;280;94;34
"Sep 5, 2022";"01:36:00";"Sep 5, 2022";"08:36:00";420;54;230;87;49
"Sep 6, 2022";"01:51:00";"Sep 6, 2022";"08:55:00";424;62;249;84;29
"Sep 7, 2022";"01:06:00";"Sep 7, 2022";"07:57:00";411;49;225;96;41
"Sep 8, 2022";"01:26:00";"Sep 8, 2022";"08:45:00";439;50;267;90;32
"Sep 9, 2022";"01:08:00";"Sep 9, 2022";"08:42:00";454;55;263;89;47
"Sep 10, 2022";"02:54:00";"Sep 10, 2022";"10:24:00";450;68;245;80;57
"Sep 11, 2022";"01:34:00";"Sep 11, 2022";"05:03:00";209;20;144;35;10
"Sep 11, 2022";"05:12:00";"Sep 11, 2022";"08:35:00";203;32;131;31;9
"Sep 12, 2022";"00:25:00";"Sep 12, 2022";"08:58:00";513;86;297;83;47
"Sep 13, 2022";"00:51:00";"Sep 13, 2022";"05:07:00";256;30;172;37;17
"Sep 13, 2022";"05:33:00";"Sep 13, 2022";"08:00:00";147;41;87;7;12
"Sep 13, 2022";"23:38:00";"Sep 14, 2022";"08:16:00";518;76;333;83;26
"Sep 16, 2022";"01:01:00";"Sep 16, 2022";"08:10:00";429;40;204;96;89
"Sep 17, 2022";"04:15:00";"Sep 17, 2022";"05:18:00";63;0;43;0;20
"Sep 17, 2022";"05:28:00";"Sep 17, 2022";"06:35:00";67;7;56;0;4
"Sep 17, 2022";"06:46:00";"Sep 17, 2022";"08:59:00";133;12;86;32;3
